Band Pass, Blackman
-55, -1.219616E-10
-54, 3.309494E-07
-53, 1.793905E-06
-52, 1.554762E-05
-51, -1.644885E-05
-50, -9.61777E-05
-49, -3.938239E-05
-48, 9.582166E-05
-47, 3.454665E-05
-46, 3.427945E-05
-45, 0.0003261784
-44, 0.0001709945
-43, -0.0005775039
-42, -0.000580123
-41, 0.0001508427
-40, 9.67794E-10
-39, -0.0002160401
-38, 0.001192492
-37, 0.00171125
-36, -0.0007354537
-35, -0.002056628
-34, -0.0003212267
-33, -0.0004901777
-32, -0.00211184
-31, 0.001396702
-30, 0.005773784
-29, 0.001803524
-28, -0.003523056
-27, -0.001057577
-26, -0.0008977497
-25, -0.007461781
-24, -0.003473829
-23, 0.01055984
-22, 0.009655213
-21, -0.002307072
-20, -6.858333E-09
-19, 0.002858819
-18, -0.01483507
-17, -0.02014425
-16, 0.008243834
-15, 0.02208912
-14, 0.003326984
-13, 0.004928463
-12, 0.02076122
-11, -0.01353242
-10, -0.05563165
-9, -0.01746389
-8, 0.03472136
-7, 0.01077694
-6, 0.009654269
-5, 0.08706479
-4, 0.04578275
-3, -0.1675345
-2, -0.2072244
-1, 0.08919248
0, 0.3
1, 0.08919248
2, -0.2072244
3, -0.1675345
4, 0.04578275
5, 0.08706479
6, 0.009654269
7, 0.01077694
8, 0.03472136
9, -0.01746389
10, -0.05563165
11, -0.01353242
12, 0.02076122
13, 0.004928463
14, 0.003326984
15, 0.02208912
16, 0.008243834
17, -0.02014425
18, -0.01483507
19, 0.002858819
20, -6.858333E-09
21, -0.002307072
22, 0.009655213
23, 0.01055984
24, -0.003473829
25, -0.007461781
26, -0.0008977497
27, -0.001057577
28, -0.003523056
29, 0.001803524
30, 0.005773784
31, 0.001396702
32, -0.00211184
33, -0.0004901777
34, -0.0003212267
35, -0.002056628
36, -0.0007354537
37, 0.00171125
38, 0.001192492
39, -0.0002160401
40, 9.67794E-10
41, 0.0001508427
42, -0.000580123
43, -0.0005775039
44, 0.0001709945
45, 0.0003261784
46, 3.427945E-05
47, 3.454665E-05
48, 9.582166E-05
49, -3.938239E-05
50, -9.61777E-05
51, -1.644885E-05
52, 1.554762E-05
53, 1.793905E-06
54, 3.309494E-07
55, -1.219616E-10
Band Pass, Blackman
-55, -1.219616E-10
-54, 3.309494E-07
-53, 1.793905E-06
-52, 1.554762E-05
-51, -1.644885E-05
-50, -9.61777E-05
-49, -3.938239E-05
-48, 9.582166E-05
-47, 3.454665E-05
-46, 3.427945E-05
-45, 0.0003261784
-44, 0.0001709945
-43, -0.0005775039
-42, -0.000580123
-41, 0.0001508427
-40, 9.67794E-10
-39, -0.0002160401
-38, 0.001192492
-37, 0.00171125
-36, -0.0007354537
-35, -0.002056628
-34, -0.0003212267
-33, -0.0004901777
-32, -0.00211184
-31, 0.001396702
-30, 0.005773784
-29, 0.001803524
-28, -0.003523056
-27, -0.001057577
-26, -0.0008977497
-25, -0.007461781
-24, -0.003473829
-23, 0.01055984
-22, 0.009655213
-21, -0.002307072
-20, -6.858333E-09
-19, 0.002858819
-18, -0.01483507
-17, -0.02014425
-16, 0.008243834
-15, 0.02208912
-14, 0.003326984
-13, 0.004928463
-12, 0.02076122
-11, -0.01353242
-10, -0.05563165
-9, -0.01746389
-8, 0.03472136
-7, 0.01077694
-6, 0.009654269
-5, 0.08706479
-4, 0.04578275
-3, -0.1675345
-2, -0.2072244
-1, 0.08919248
0, 0.3
1, 0.08919248
2, -0.2072244
3, -0.1675345
4, 0.04578275
5, 0.08706479
6, 0.009654269
7, 0.01077694
8, 0.03472136
9, -0.01746389
10, -0.05563165
11, -0.01353242
12, 0.02076122
13, 0.004928463
14, 0.003326984
15, 0.02208912
16, 0.008243834
17, -0.02014425
18, -0.01483507
19, 0.002858819
20, -6.858333E-09
21, -0.002307072
22, 0.009655213
23, 0.01055984
24, -0.003473829
25, -0.007461781
26, -0.0008977497
27, -0.001057577
28, -0.003523056
29, 0.001803524
30, 0.005773784
31, 0.001396702
32, -0.00211184
33, -0.0004901777
34, -0.0003212267
35, -0.002056628
36, -0.0007354537
37, 0.00171125
38, 0.001192492
39, -0.0002160401
40, 9.67794E-10
41, 0.0001508427
42, -0.000580123
43, -0.0005775039
44, 0.0001709945
45, 0.0003261784
46, 3.427945E-05
47, 3.454665E-05
48, 9.582166E-05
49, -3.938239E-05
50, -9.61777E-05
51, -1.644885E-05
52, 1.554762E-05
53, 1.793905E-06
54, 3.309494E-07
55, -1.219616E-10
Band Reject, Blackman
-55, 1.219615E-10
-54, -8.66428E-07
-53, 1.021766E-05
-52, 2.515656E-05
-51, -1.823384E-05
-50, -9.61777E-05
-49, -4.365539E-05
-48, 0.0001550427
-47, 0.0001967665
-46, -8.974555E-05
-45, -0.0003261786
-44, -0.0001056797
-43, 0.0002654495
-42, 0.0002215866
-41, -5.197697E-05
-40, 4.83897E-10
-39, 7.444218E-05
-38, -0.0004554928
-37, -0.0007865748
-36, 0.0004545379
-35, 0.002056627
-34, 0.0008409765
-33, -0.002791928
-32, -0.003417029
-31, 0.001548264
-30, 0.005773784
-29, 0.001999213
-28, -0.005700425
-27, -0.006023637
-26, 0.002350351
-25, 0.007461783
-24, 0.002146937
-23, -0.004853825
-22, -0.003687957
-21, 0.0007949639
-20, -3.429166E-09
-19, -0.0009850806
-18, 0.005666499
-17, 0.009259291
-16, -0.005094982
-15, -0.02208912
-14, -0.008710135
-13, 0.02807119
-12, 0.03359235
-11, -0.01500084
-10, -0.05563165
-9, -0.01935884
-8, 0.05618034
-7, 0.06138233
-6, -0.02527524
-5, -0.08706479
-4, -0.02829528
-3, 0.07700714
-2, 0.07915266
-1, -0.03073363
0, 0.9
1, -0.03073363
2, 0.07915266
3, 0.07700714
4, -0.02829528
5, -0.08706479
6, -0.02527524
7, 0.06138233
